Customer_ID,Subscription_Length,Last_Activity,Support_Tickets_Raised,Satisfaction_Score
CUST000205,18,225,1,2.0
CUST000206,34,185,7,5.0
CUST000207,39,323,1,3.0
CUST000208,41,11,1,3.0
CUST000209,42,173,0,4.0
CUST000210,50,96,5,5.0
CUST000211,23,278,1,2.0
CUST000212,7,139,2,6.0
CUST000213,59,166,0,6.0
CUST000214,39,187,2,8.0
CUST000215,3,86,2,2.0
CUST000216,12,231,4,8.0
CUST000217,7,138,2,8.0
CUST000218,49,19,2,4.0
CUST000219,26,338,2,7.0
CUST000220,33,156,0,
CUST000221,37,95,5,
CUST000222,48,17,1,1.0
CUST000223,15,280,6,8.0
CUST000224,2,261,3,1.0
CUST000225,41,160,3,3.0
CUST000226,7,309,2,6.0
CUST000227,32,81,1,8.0
CUST000228,4,185,5,5.0
CUST000229,20,213,0,5.0
CUST000230,50,342,2,4.0
CUST000231,53,359,3,4.0
CUST000232,36,167,1,7.0
CUST000233,32,206,2,6.0
CUST000234,28,336,1,8.0
CUST000235,13,261,2,6.0
CUST000236,1,274,1,10.0
CUST000237,56,236,1,7.0
CUST000238,35,243,4,10.0
CUST000239,48,220,3,10.0
CUST000240,30,347,3,5.0
CUST000241,54,70,1,6.0
CUST000242,36,213,1,1.0
CUST000243,57,337,3,
CUST000244,55,287,5,8.0
CUST000245,25,226,1,3.0
CUST000246,16,269,5,1.0
CUST000247,58,279,1,3.0
CUST000248,19,249,2,4.0
CUST000249,1,321,2,8.0
CUST000250,5,196,1,9.0
CUST000251,51,30,2,4.0
CUST000252,22,303,2,7.0
CUST000253,24,131,2,1.0
CUST000254,43,12,2,9.0
CUST000255,45,16,3,4.0
CUST000256,52,117,0,9.0
CUST000257,37,149,4,3.0
CUST000258,53,109,1,5.0
CUST000259,36,236,0,1.0
CUST000260,36,314,1,3.0
CUST000261,4,5,0,5.0
CUST000262,36,180,1,6.0
CUST000263,52,337,1,8.0
CUST000264,53,1,2,1.0
CUST000265,18,8,2,3.0
CUST000266,50,144,0,
CUST000267,16,143,2,5.0
CUST000268,41,275,2,8.0
CUST000269,18,153,3,4.0
CUST000270,22,287,5,9.0
CUST000271,2,130,2,6.0
CUST000272,21,121,1,6.0
CUST000273,36,59,2,5.0
CUST000274,44,217,0,10.0
CUST000275,39,31,5,5.0
CUST000276,47,244,1,7.0
CUST000277,39,140,1,8.0
CUST000278,29,213,1,7.0
CUST000279,54,29,2,1.0
CUST000280,26,164,1,1.0
CUST000281,21,104,3,10.0
CUST000282,17,63,4,6.0
CUST000283,16,15,2,3.0
CUST000284,31,286,2,9.0
CUST000285,51,179,2,7.0
CUST000286,9,11,2,2.0
CUST000287,31,13,1,3.0
CUST000288,14,215,2,8.0
CUST000289,49,311,2,1.0
CUST000290,37,226,2,5.0
CUST000291,2,63,5,10.0
CUST000292,52,255,2,1.0
CUST000293,48,130,3,
CUST000294,46,263,0,7.0
CUST000295,14,171,2,5.0
CUST000296,59,190,2,6.0
CUST000297,33,284,1,
CUST000298,35,25,2,3.0
CUST000299,58,160,1,7.0
CUST000300,39,217,2,7.0
CUST000301,58,176,4,7.0
CUST000302,47,336,3,
CUST000303,51,221,1,2.0
CUST000304,20,280,3,
CUST000305,2,81,3,4.0
CUST000306,51,125,4,7.0
CUST000307,41,170,3,3.0
CUST000308,19,70,1,5.0
CUST000309,59,78,2,2.0
CUST000310,37,90,2,
CUST000311,18,348,2,9.0
CUST000312,16,111,3,4.0
CUST000313,4,164,2,8.0
CUST000314,12,128,0,7.0
CUST000315,29,155,1,1.0
CUST000316,7,194,1,10.0
CUST000317,14,173,1,7.0
CUST000318,55,300,1,2.0
CUST000319,12,313,3,3.0
CUST000320,35,21,0,1.0
CUST000321,5,311,2,7.0
CUST000322,17,109,1,3.0
CUST000323,58,360,2,6.0
CUST000324,42,129,1,7.0
CUST000325,32,280,1,
CUST000326,10,27,1,2.0
CUST000327,43,344,2,9.0
CUST000328,17,92,2,9.0
CUST000329,5,295,2,7.0
CUST000330,45,55,2,5.0
CUST000331,42,196,1,4.0
CUST000332,9,221,1,
CUST000333,49,301,2,1.0
CUST000334,33,156,2,4.0
CUST000335,36,101,3,7.0
CUST000336,36,236,2,5.0
CUST000337,18,285,1,9.0
CUST000338,9,69,2,4.0
CUST000339,57,267,2,3.0
CUST000340,29,138,2,
CUST000341,50,248,2,4.0
CUST000342,14,103,2,2.0
CUST000343,25,108,1,5.0
CUST000344,15,200,0,4.0
CUST000345,6,215,1,5.0
CUST000346,56,155,5,9.0
CUST000347,42,87,4,4.0
CUST000348,29,209,3,6.0
CUST000349,15,178,2,
CUST000350,29,74,2,1.0
CUST000351,4,258,2,2.0
CUST000352,18,273,2,6.0
CUST000353,50,351,0,8.0
CUST000354,57,336,1,9.0
CUST000355,49,24,1,4.0
CUST000356,44,313,0,6.0
CUST000357,39,71,4,3.0
CUST000358,16,83,2,
CUST000359,11,353,0,8.0
CUST000360,14,292,2,1.0
CUST000361,3,301,0,2.0
CUST000362,51,10,3,10.0
CUST000363,50,319,2,9.0
CUST000364,42,43,1,
CUST000365,38,51,1,3.0
CUST000366,45,207,3,3.0
CUST000367,42,107,3,10.0
CUST000368,18,259,3,9.0
CUST000369,58,194,0,3.0
CUST000370,20,235,0,10.0
CUST000371,58,163,3,
CUST000372,48,69,3,6.0
CUST000373,25,335,1,
CUST000374,57,292,4,10.0
CUST000375,38,305,0,8.0
CUST000376,13,257,1,2.0
CUST000377,4,329,3,6.0
CUST000378,55,185,2,2.0
CUST000379,14,255,2,
CUST000380,33,116,1,
CUST000381,28,14,4,
CUST000382,52,215,2,4.0
CUST000383,37,93,2,
CUST000384,8,234,1,2.0
CUST000385,44,180,4,8.0
CUST000386,34,54,5,4.0
CUST000387,44,305,2,2.0
CUST000388,5,30,2,9.0
CUST000389,54,12,0,8.0
CUST000390,5,111,3,5.0
CUST000391,31,112,2,8.0
CUST000392,45,169,5,5.0
CUST000393,9,104,6,7.0
CUST000394,42,11,3,5.0
CUST000395,32,347,3,5.0
CUST000396,33,329,3,4.0
CUST000397,3,272,2,5.0
CUST000398,30,14,3,
CUST000399,50,175,2,3.0
CUST000400,12,158,0,4.0
CUST000401,29,110,2,8.0
CUST000402,3,152,2,6.0
CUST000403,26,234,2,
CUST000404,57,141,2,2.0
CUST000405,30,119,1,9.0
CUST000406,9,9,2,7.0
CUST000407,26,177,5,5.0
CUST000408,2,49,1,7.0
CUST000409,3,298,0,2.0
CUST000410,46,333,2,4.0
CUST000411,4,149,0,7.0
CUST000412,25,157,3,2.0
CUST000413,51,92,2,
CUST000414,13,152,3,10.0
CUST000415,39,170,4,10.0
CUST000416,44,84,1,5.0
CUST000417,35,359,1,5.0
CUST000418,55,327,1,8.0
CUST000419,23,48,2,1.0
CUST000420,9,335,1,6.0
CUST000421,2,217,3,2.0
CUST000422,54,77,4,1.0
CUST000423,41,43,2,7.0
CUST000424,44,264,3,4.0
CUST000425,31,63,1,1.0
CUST000426,44,245,1,10.0
CUST000427,47,120,4,6.0
CUST000428,2,319,3,10.0
CUST000429,32,262,1,6.0
CUST000430,18,330,3,3.0
CUST000431,13,250,2,6.0
CUST000432,46,52,2,10.0
CUST000433,5,277,4,9.0
CUST000434,58,142,2,6.0
CUST000435,42,251,2,1.0
CUST000436,44,314,4,
CUST000437,10,225,4,6.0
CUST000438,56,153,2,8.0
CUST000439,43,56,1,7.0
CUST000440,25,339,1,
CUST000441,34,9,2,8.0
CUST000442,37,241,2,9.0
CUST000443,30,164,2,3.0
CUST000444,7,133,2,7.0
CUST000445,6,81,2,6.0
CUST000446,54,350,2,2.0
CUST000447,55,135,2,5.0
CUST000448,3,134,2,
CUST000449,13,52,6,5.0
CUST000450,3,202,2,9.0
CUST000451,26,198,1,8.0
CUST000452,57,106,3,9.0
CUST000453,24,311,1,9.0
CUST000454,53,244,5,
CUST000455,6,233,2,8.0
CUST000456,43,14,1,6.0
CUST000457,58,225,2,6.0
CUST000458,49,211,1,6.0
CUST000459,42,201,0,10.0
CUST000460,12,165,5,6.0
CUST000461,49,49,3,9.0
CUST000462,36,133,1,10.0
CUST000463,2,70,4,
CUST000464,11,119,0,10.0
CUST000465,39,139,2,6.0
CUST000466,34,243,0,8.0
CUST000467,26,181,4,1.0
CUST000468,18,183,4,6.0
CUST000469,21,335,2,9.0
CUST000470,36,50,2,
CUST000471,40,181,3,2.0
CUST000472,52,125,1,1.0
CUST000473,46,231,4,4.0
CUST000474,44,311,0,6.0
CUST000475,22,348,2,10.0
CUST000476,53,3,0,10.0
CUST000477,59,173,0,9.0
CUST000478,30,81,6,5.0
CUST000479,50,275,2,
CUST000480,43,315,1,6.0
CUST000481,30,345,2,6.0
CUST000482,8,219,4,9.0
CUST000483,34,140,1,
CUST000484,57,63,5,2.0
CUST000485,47,27,1,8.0
CUST000486,9,196,0,3.0
CUST000487,51,152,1,9.0
CUST000488,20,252,1,5.0
CUST000489,40,248,0,1.0
CUST000490,25,154,4,4.0
CUST000491,19,210,1,9.0
CUST000492,5,22,2,1.0
CUST000493,11,70,4,8.0
CUST000494,15,19,2,
CUST000495,8,101,4,9.0
CUST000496,19,162,2,9.0
CUST000497,23,139,4,6.0
CUST000498,27,88,4,5.0
CUST000499,40,37,3,7.0
CUST000500,32,171,3,9.0
CUST000501,26,260,1,
CUST000502,27,338,1,3.0
CUST000503,19,271,3,9.0
CUST000504,50,255,2,10.0
CUST000505,42,140,3,1.0
CUST000506,29,68,1,1.0
CUST000507,39,68,2,10.0
CUST000508,41,169,2,4.0
CUST000509,33,105,2,2.0
CUST000510,19,315,1,7.0
CUST000511,37,58,2,2.0
CUST000512,19,187,2,7.0
CUST000513,33,56,1,8.0
CUST000514,47,4,2,8.0
CUST000515,16,285,4,3.0
CUST000516,23,17,3,9.0
CUST000517,7,237,0,10.0
CUST000518,26,307,4,
CUST000519,32,250,2,10.0
CUST000520,12,24,2,6.0
CUST000521,8,300,2,4.0
CUST000522,5,116,3,8.0
CUST000523,42,238,0,4.0
CUST000524,28,169,1,4.0
CUST000525,53,313,1,8.0
CUST000526,5,288,1,4.0
CUST000527,49,241,2,1.0
CUST000528,26,364,1,6.0
CUST000529,5,298,1,8.0
CUST000530,22,290,1,3.0
CUST000531,15,251,3,2.0
CUST000532,13,165,0,6.0
CUST000533,28,341,1,
CUST000534,33,141,1,5.0
CUST000535,43,120,3,6.0
CUST000536,23,338,4,8.0
CUST000537,33,161,1,7.0
CUST000538,43,105,2,6.0
CUST000539,18,338,4,
CUST000540,50,92,2,8.0
CUST000541,53,204,0,8.0
CUST000542,30,40,0,5.0
CUST000543,26,54,2,3.0
CUST000544,16,89,4,8.0
CUST000545,13,135,0,5.0
CUST000546,39,2,0,3.0
CUST000547,33,97,0,9.0
CUST000548,26,56,2,9.0
CUST000549,48,360,1,7.0
CUST000550,1,124,3,8.0
CUST000551,49,185,1,5.0
CUST000552,38,125,3,5.0
CUST000553,2,334,2,5.0
CUST000554,49,264,1,2.0
CUST000555,6,340,2,3.0
CUST000556,46,191,2,8.0
CUST000557,50,338,1,6.0
CUST000558,38,215,3,9.0
CUST000559,42,221,1,7.0
CUST000560,24,199,1,6.0
CUST000561,18,344,1,4.0
CUST000562,27,174,0,
CUST000563,41,217,2,4.0
CUST000564,8,206,2,7.0
CUST000565,28,67,1,5.0
CUST000566,10,174,2,2.0
CUST000567,17,78,0,7.0
CUST000568,55,323,3,8.0
CUST000569,29,42,2,10.0
CUST000570,58,64,1,2.0
CUST000571,6,329,3,6.0
CUST000572,14,199,1,4.0
CUST000573,22,90,2,5.0
CUST000574,54,7,2,1.0
CUST000575,6,263,0,6.0
CUST000576,26,122,6,8.0
CUST000577,39,164,2,2.0
CUST000578,12,116,0,1.0
CUST000579,35,13,3,
CUST000580,14,20,1,2.0
CUST000581,22,201,1,8.0
CUST000582,51,309,2,
CUST000583,23,254,2,
CUST000584,48,86,1,5.0
CUST000585,7,180,3,9.0
CUST000586,40,237,0,6.0
CUST000587,50,353,4,
CUST000588,25,61,0,8.0
CUST000589,13,215,4,1.0
CUST000590,21,215,0,9.0
CUST000591,41,358,0,9.0
CUST000592,10,90,1,4.0
CUST000593,53,96,2,8.0
CUST000594,55,61,2,3.0
CUST000595,59,56,3,6.0
CUST000596,9,220,3,10.0
CUST000597,15,94,3,10.0
CUST000598,52,40,0,8.0
CUST000599,2,337,1,9.0
CUST000600,25,319,1,8.0
CUST000601,13,248,1,9.0
CUST000602,34,217,1,4.0
CUST000603,51,154,1,10.0
CUST000604,58,351,3,
CUST000605,34,62,2,7.0
CUST000606,35,240,5,10.0
CUST000607,38,190,1,4.0
CUST000608,3,146,2,1.0
CUST000609,42,10,1,3.0
CUST000610,56,292,0,7.0
CUST000611,59,130,2,3.0
CUST000612,6,60,1,
CUST000613,55,175,1,7.0
CUST000614,48,73,2,
CUST000615,49,239,2,
CUST000616,19,179,2,6.0
CUST000617,3,67,4,3.0
CUST000618,18,81,1,5.0
CUST000619,39,77,1,3.0
CUST000620,9,248,3,2.0
CUST000621,52,195,3,7.0
CUST000622,12,68,2,10.0
CUST000623,5,338,2,7.0
CUST000624,3,56,1,8.0
CUST000625,11,99,4,1.0
CUST000626,57,270,2,2.0
CUST000627,30,76,5,2.0
CUST000628,4,331,3,3.0
CUST000629,5,66,3,7.0
CUST000630,1,33,1,7.0
CUST000631,27,269,4,7.0
CUST000632,28,30,0,1.0
CUST000633,29,26,1,2.0
CUST000634,18,210,2,8.0
CUST000635,12,269,0,9.0
CUST000636,13,324,2,
CUST000637,41,123,1,7.0
CUST000638,2,33,2,1.0
CUST000639,37,143,6,4.0
CUST000640,45,145,3,10.0
CUST000641,16,262,3,8.0
CUST000642,48,5,2,5.0
CUST000643,24,161,3,1.0
CUST000644,35,310,2,7.0
CUST000645,22,144,1,6.0
CUST000646,36,152,4,9.0
CUST000647,11,5,4,4.0
CUST000648,55,195,5,4.0
CUST000649,58,125,0,8.0
CUST000650,46,76,1,4.0
CUST000651,29,306,0,3.0
CUST000652,35,169,1,7.0
CUST000653,48,217,1,5.0
CUST000654,54,183,1,9.0
CUST000655,15,337,0,5.0
CUST000656,31,113,3,9.0
CUST000657,42,276,2,6.0
CUST000658,41,178,0,6.0
CUST000659,43,125,1,6.0
CUST000660,16,291,2,7.0
CUST000661,10,323,7,4.0
CUST000662,49,199,5,
CUST000663,32,138,3,9.0
CUST000664,51,218,0,7.0
CUST000665,2,297,1,10.0
CUST000666,24,168,2,6.0
CUST000667,23,134,1,1.0
CUST000668,2,161,1,7.0
CUST000669,38,272,1,6.0
CUST000670,31,280,5,4.0
CUST000671,51,248,2,8.0
CUST000672,40,222,1,7.0
CUST000673,26,316,3,
CUST000674,29,330,5,9.0
CUST000675,3,172,1,1.0
CUST000676,58,259,3,3.0
CUST000677,14,256,1,2.0
CUST000678,25,168,3,3.0
CUST000679,48,120,5,2.0
CUST000680,1,19,2,6.0
CUST000681,53,296,1,9.0
CUST000682,3,309,0,2.0
CUST000683,54,247,1,4.0
CUST000684,26,205,3,5.0
CUST000685,18,67,4,5.0
CUST000686,9,342,1,1.0
CUST000687,38,345,5,6.0
CUST000688,23,185,2,5.0
CUST000689,21,342,3,6.0
CUST000690,57,108,1,
CUST000691,1,165,3,6.0
CUST000692,21,121,1,9.0
CUST000693,27,84,5,1.0
CUST000694,42,302,4,6.0
CUST000695,59,261,2,1.0
CUST000696,6,107,3,7.0
CUST000697,55,123,1,4.0
CUST000698,44,73,2,6.0
CUST000699,36,337,1,7.0
CUST000700,28,313,5,5.0
CUST000701,45,154,1,9.0
CUST000702,17,289,2,8.0
CUST000703,59,97,0,3.0
CUST000704,40,292,1,1.0
CUST000705,58,349,0,10.0
CUST000706,52,278,3,8.0
CUST000707,3,254,0,4.0
CUST000708,12,82,4,7.0
CUST000709,39,17,1,4.0
CUST000710,12,300,2,7.0
CUST000711,2,180,2,1.0
CUST000712,56,216,2,1.0
CUST000713,46,22,1,2.0
CUST000714,22,236,2,5.0
CUST000715,23,211,0,
CUST000716,30,286,5,6.0
CUST000717,5,207,4,
CUST000718,9,325,4,1.0
CUST000719,21,255,1,9.0
CUST000720,11,345,1,7.0
CUST000721,5,11,3,8.0
CUST000722,35,307,1,
CUST000723,27,319,3,9.0
CUST000724,49,342,0,8.0
CUST000725,2,34,1,
CUST000726,24,121,3,5.0
CUST000727,31,236,2,2.0
CUST000728,33,183,3,1.0
CUST000729,39,78,2,6.0
CUST000730,30,123,1,3.0
CUST000731,46,276,2,4.0
CUST000732,37,208,1,1.0
CUST000733,51,186,1,6.0
CUST000734,28,17,3,
CUST000735,31,290,6,10.0
CUST000736,11,254,1,4.0
CUST000737,23,99,2,10.0
CUST000738,57,147,5,8.0
CUST000739,2,114,2,10.0
CUST000740,40,97,0,3.0
CUST000741,41,322,4,
CUST000742,27,328,1,3.0
CUST000743,35,349,1,6.0
CUST000744,2,170,0,4.0
CUST000745,39,307,1,6.0
CUST000746,37,199,3,7.0
CUST000747,21,177,3,8.0
CUST000748,58,124,2,6.0
CUST000749,5,157,0,
CUST000750,52,95,2,9.0
CUST000751,45,286,1,7.0
CUST000752,21,99,3,9.0
CUST000753,29,235,0,3.0
CUST000754,20,190,1,5.0
CUST000755,38,294,3,1.0
CUST000756,20,273,4,8.0
CUST000757,50,330,0,1.0
CUST000758,25,18,2,1.0
CUST000759,2,174,1,7.0
CUST000760,57,306,1,8.0
CUST000761,32,120,2,3.0
CUST000762,26,256,1,2.0
CUST000763,6,96,4,7.0
CUST000764,41,310,3,10.0
CUST000765,57,31,3,5.0
CUST000766,3,97,3,1.0
CUST000767,33,193,4,2.0
CUST000768,1,233,1,3.0
CUST000769,51,46,3,6.0
CUST000770,5,291,3,1.0
CUST000771,13,236,3,8.0
CUST000772,19,49,4,2.0
CUST000773,12,337,1,5.0
CUST000774,48,162,1,8.0
CUST000775,25,285,0,5.0
CUST000776,57,134,6,8.0
CUST000777,51,257,0,6.0
CUST000778,35,183,1,7.0
CUST000779,12,27,3,8.0
CUST000780,30,140,1,3.0
CUST000781,5,260,2,
CUST000782,34,80,1,10.0
CUST000783,22,180,1,7.0
CUST000784,39,267,2,9.0
CUST000785,13,52,2,6.0
CUST000786,57,84,2,10.0
CUST000787,47,156,2,1.0
CUST000788,54,328,2,8.0
CUST000789,3,104,2,6.0
CUST000790,53,346,4,1.0
CUST000791,20,97,1,4.0
CUST000792,31,125,1,6.0
CUST000793,5,183,2,10.0
CUST000794,24,327,2,1.0
CUST000795,40,54,3,10.0
CUST000796,54,302,2,5.0
CUST000797,33,164,1,3.0
CUST000798,8,149,3,7.0
CUST000799,24,290,5,
CUST000800,50,87,2,
CUST000801,20,162,3,10.0
CUST000802,16,168,1,3.0
CUST000803,50,135,4,3.0
CUST000804,52,90,3,6.0
CUST000805,12,308,2,
CUST000806,13,305,3,3.0
CUST000807,45,81,2,6.0
CUST000808,42,351,1,9.0
CUST000809,39,231,1,8.0
CUST000810,25,89,3,7.0
CUST000811,46,293,4,7.0
CUST000812,32,2,5,8.0
CUST000813,24,352,3,7.0
CUST000814,48,222,2,3.0
CUST000815,47,17,0,8.0
CUST000816,44,196,3,8.0
CUST000817,9,120,3,1.0
CUST000818,40,242,3,
CUST000819,50,174,1,5.0
CUST000820,23,32,2,5.0
CUST000821,50,275,3,1.0
CUST000822,13,195,1,6.0
CUST000823,59,4,4,6.0
CUST000824,32,281,2,4.0
CUST000825,50,21,2,6.0
CUST000826,15,238,2,6.0
CUST000827,36,93,1,1.0
CUST000828,49,89,2,5.0
CUST000829,5,113,1,2.0
CUST000830,22,221,5,7.0
CUST000831,16,98,3,9.0
CUST000832,41,142,1,9.0
CUST000833,10,150,2,9.0
CUST000834,24,48,3,
CUST000835,18,51,3,7.0
CUST000836,49,208,5,1.0
CUST000837,18,11,1,6.0
CUST000838,7,270,0,5.0
CUST000839,4,263,0,
CUST000840,26,197,4,8.0
CUST000841,5,186,0,4.0
CUST000842,55,296,1,1.0
CUST000843,16,221,1,6.0
CUST000844,35,81,2,10.0
CUST000845,26,222,1,1.0
CUST000846,18,170,3,5.0
CUST000847,29,86,4,5.0
CUST000848,23,44,2,
CUST000849,53,261,3,5.0
CUST000850,14,104,2,
CUST000851,15,284,2,5.0
CUST000852,49,228,2,1.0
CUST000853,33,188,2,7.0
CUST000854,25,121,4,
CUST000855,21,149,1,7.0
CUST000856,17,352,1,5.0
CUST000857,23,305,1,
CUST000858,57,57,5,6.0
CUST000859,43,341,4,1.0
CUST000860,17,189,1,6.0
CUST000861,58,357,2,4.0
CUST000862,14,38,4,4.0
CUST000863,29,201,0,5.0
CUST000864,20,229,3,9.0
CUST000865,30,131,3,1.0
CUST000866,19,171,3,3.0
CUST000867,53,330,4,
CUST000868,39,35,2,2.0
CUST000869,56,201,2,9.0
CUST000870,13,168,1,7.0
CUST000871,18,246,3,1.0
CUST000872,23,224,3,
CUST000873,46,341,2,6.0
CUST000874,33,58,2,2.0
CUST000875,39,290,2,1.0
CUST000876,40,25,5,6.0
CUST000877,18,32,3,7.0
CUST000878,9,110,2,10.0
CUST000879,33,101,3,6.0
CUST000880,32,150,4,7.0
CUST000881,54,345,3,6.0
CUST000882,17,193,1,8.0
CUST000883,19,109,0,2.0
CUST000884,27,356,7,9.0
CUST000885,6,277,2,9.0
