Customer_ID,Payment_Method,Monthly_Spend,Discount_Offered
CUST000088,Debit Card,53.08,10.67
CUST000089,PayPal,51.09,13.5
CUST000090,Credit Card,46.58,6.18
CUST000091,Debit Card,56.8,19.57
CUST000092,PayPal,59.22,19.05
CUST000093,Debit Card,51.34,19.02
CUST000094,Credit Card,43.24,18.19
CUST000095,Debit Card,56.88,14.9
CUST000096,Debit Card,46.41,8.32
CUST000097,Debit Card,41.13,5.74
CUST000098,Debit Card,42.45,6.49
CUST000099,PayPal,46.81,9.86
CUST000100,Credit Card,51.11,12.56
CUST000101,PayPal,56.35,19.9
CUST000102,Debit Card,48.82,11.53
CUST000103,Debit Card,35.08,12.87
CUST000104,Credit Card,58.72,15.43
CUST000105,Credit Card,54.05,7.71
CUST000106,PayPal,60.51,18.99
CUST000107,PayPal,43.78,12.94
CUST000108,Credit Card,48.6,9.14
CUST000109,PayPal,55.54,19.03
CUST000110,Debit Card,47.91,14.38
CUST000111,Debit Card,49.46,12.26
CUST000112,Credit Card,45.28,13.7
CUST000113,PayPal,41.48,16.22
CUST000114,Debit Card,40.87,7.32
CUST000115,Credit Card,38.92,17.97
CUST000116,PayPal,64.35,19.39
CUST000117,Debit Card,44.18,13.5
CUST000118,PayPal,39.88,15.23
CUST000119,PayPal,54.85,17.9
CUST000120,PayPal,64.35,10.62
CUST000121,Credit Card,49.91,19.89
CUST000122,Debit Card,37.1,15.21
CUST000123,Credit Card,52.94,11.36
CUST000124,Debit Card,48.71,15.16
CUST000125,Debit Card,43.67,12.83
CUST000126,Credit Card,54.3,6.67
CUST000127,Credit Card,43.85,16.94
CUST000128,Debit Card,38.23,13.47
CUST000129,Debit Card,34.59,16.94
CUST000130,Debit Card,44.29,7.32
CUST000131,PayPal,54.87,13.08
CUST000132,Debit Card,57.46,16.5
CUST000133,Credit Card,49.77,19.82
CUST000134,Credit Card,37.35,18.27
CUST000135,Credit Card,47.15,17.97
CUST000136,Debit Card,57.96,8.71
CUST000137,Debit Card,38.17,17.57
CUST000138,PayPal,40.07,7.54
CUST000139,PayPal,43.63,7.97
CUST000140,Credit Card,46.33,6.65
CUST000141,PayPal,53.05,17.86
CUST000142,PayPal,51.0,6.62
CUST000143,Credit Card,42.94,7.07
CUST000144,Debit Card,25.76,8.69
CUST000145,PayPal,47.15,13.59
CUST000146,Debit Card,46.38,18.2
CUST000147,Credit Card,58.38,11.27
CUST000148,Credit Card,34.89,13.19
CUST000149,PayPal,54.97,7.5
CUST000150,Credit Card,36.58,8.99
CUST000151,Credit Card,38.37,7.01
CUST000152,Credit Card,49.79,11.15
CUST000153,PayPal,40.25,13.86
CUST000154,PayPal,27.19,9.26
CUST000155,PayPal,37.57,17.69
CUST000156,Credit Card,62.77,19.72
CUST000157,Debit Card,26.71,6.8
CUST000158,Credit Card,51.44,5.27
CUST000159,PayPal,58.74,16.85
CUST000160,Debit Card,50.01,7.86
CUST000161,Debit Card,58.92,10.3
CUST000162,PayPal,50.27,10.91
CUST000163,Debit Card,43.5,18.75
CUST000164,Debit Card,46.25,14.88
CUST000165,PayPal,36.05,5.61
CUST000166,Debit Card,52.23,5.22
CUST000167,Debit Card,41.59,7.99
CUST000168,PayPal,53.25,9.77
CUST000169,Debit Card,51.54,12.27
CUST000170,Debit Card,49.56,17.57
CUST000171,Debit Card,53.56,9.72
CUST000172,Debit Card,51.29,10.65
CUST000173,PayPal,35.0,9.94
CUST000174,Credit Card,26.14,5.13
CUST000175,Credit Card,48.93,19.33
CUST000176,Debit Card,23.15,7.08
CUST000177,PayPal,38.64,9.32
CUST000178,PayPal,53.16,6.94
CUST000179,Debit Card,50.28,12.36
CUST000180,Credit Card,60.93,18.98
CUST000181,Debit Card,29.19,6.51
CUST000182,PayPal,53.6,11.61
CUST000183,PayPal,38.48,5.34
CUST000184,Credit Card,53.41,16.56
CUST000185,PayPal,35.05,14.62
CUST000186,PayPal,61.46,15.5
CUST000187,PayPal,61.74,12.09
CUST000188,Credit Card,53.05,18.61
CUST000189,PayPal,54.02,11.14
CUST000190,Debit Card,55.65,12.71
CUST000191,Credit Card,61.52,15.43
CUST000192,Debit Card,39.49,12.81
CUST000193,Debit Card,28.87,7.84
CUST000194,Credit Card,44.45,9.76
CUST000195,Debit Card,31.38,6.38
CUST000196,Credit Card,41.78,11.49
CUST000197,Debit Card,46.91,14.14
CUST000198,Credit Card,29.04,6.78
CUST000199,PayPal,50.99,14.46
CUST000200,PayPal,47.69,18.39
CUST000201,Debit Card,48.89,10.07
CUST000202,PayPal,53.53,8.33
CUST000203,Credit Card,44.77,18.4
CUST000204,Debit Card,37.52,15.38
CUST000205,PayPal,33.34,6.58
CUST000206,PayPal,41.84,11.12
CUST000207,Debit Card,44.93,15.11
CUST000208,PayPal,44.68,13.62
CUST000209,PayPal,51.03,14.28
CUST000210,Debit Card,47.33,13.51
CUST000211,PayPal,38.52,16.97
CUST000212,PayPal,39.77,9.81
CUST000213,PayPal,59.72,15.63
CUST000214,PayPal,60.11,19.87
CUST000215,Debit Card,28.13,10.85
CUST000216,Credit Card,47.6,16.87
CUST000217,Credit Card,44.33,8.69
CUST000218,PayPal,48.58,9.23
CUST000219,PayPal,53.58,19.02
CUST000220,Credit Card,49.57,5.39
CUST000221,PayPal,30.47,8.26
CUST000222,Credit Card,42.66,12.24
CUST000223,Debit Card,42.16,11.03
CUST000224,Debit Card,26.38,14.44
CUST000225,Debit Card,39.09,7.89
CUST000226,Debit Card,38.41,6.06
CUST000227,Debit Card,53.02,10.54
CUST000228,Debit Card,34.1,12.87
CUST000229,Credit Card,45.2,13.43
CUST000230,PayPal,49.79,14.02
CUST000231,Credit Card,49.58,13.23
CUST000232,Debit Card,51.2,8.69
CUST000233,PayPal,49.69,16.47
CUST000234,PayPal,48.5,6.32
CUST000235,Debit Card,40.59,7.98
CUST000236,Debit Card,51.99,16.09
CUST000237,Debit Card,56.99,9.2
CUST000238,Debit Card,56.96,12.4
CUST000239,Debit Card,61.61,9.91
CUST000240,Debit Card,45.31,12.6
CUST000241,PayPal,53.56,10.2
CUST000242,Debit Card,41.69,19.91
CUST000243,Debit Card,47.14,10.36
CUST000244,PayPal,59.3,14.41
CUST000245,Credit Card,42.15,18.33
CUST000246,Debit Card,29.96,14.57
CUST000247,PayPal,49.09,13.49
CUST000248,PayPal,41.22,13.54
CUST000249,Credit Card,43.84,12.45
CUST000250,Debit Card,52.92,17.11
CUST000251,Debit Card,45.32,5.76
CUST000252,Debit Card,50.53,18.28
CUST000253,PayPal,34.06,13.79
CUST000254,Debit Card,60.33,17.73
CUST000255,Debit Card,40.72,5.16
CUST000256,Debit Card,67.63,18.04
CUST000257,Debit Card,38.19,6.8
CUST000258,Credit Card,55.72,15.82
CUST000259,Credit Card,37.67,11.25
CUST000260,Credit Card,45.19,15.22
CUST000261,Debit Card,39.92,14.42
CUST000262,Debit Card,48.73,7.45
CUST000263,PayPal,61.89,12.72
CUST000264,PayPal,40.95,9.16
CUST000265,PayPal,38.67,13.41
CUST000266,Debit Card,45.39,16.07
CUST000267,Credit Card,37.79,6.22
CUST000268,Credit Card,56.34,12.74
CUST000269,Credit Card,37.59,14.26
CUST000270,Debit Card,47.41,9.43
CUST000271,Credit Card,42.53,19.3
CUST000272,PayPal,46.22,12.8
CUST000273,PayPal,45.04,7.74
CUST000274,Credit Card,60.03,6.62
CUST000275,PayPal,43.61,13.12
CUST000276,Credit Card,56.85,10.63
CUST000277,Credit Card,52.44,7.89
CUST000278,PayPal,48.35,5.46
CUST000279,PayPal,42.68,13.5
CUST000280,PayPal,36.25,13.98
CUST000281,PayPal,52.82,7.13
CUST000282,Credit Card,42.18,14.03
CUST000283,PayPal,40.17,19.28
CUST000284,PayPal,59.29,19.67
CUST000285,Debit Card,59.46,18.33
CUST000286,PayPal,33.62,17.11
CUST000287,PayPal,40.37,8.14
CUST000288,Credit Card,44.74,7.35
CUST000289,Credit Card,39.5,11.67
CUST000290,Debit Card,48.42,14.29
CUST000291,PayPal,48.67,17.76
CUST000292,PayPal,38.12,8.48
CUST000293,PayPal,59.38,12.19
CUST000294,PayPal,57.43,14.71
CUST000295,PayPal,40.77,11.68
CUST000296,PayPal,54.4,11.81
CUST000297,Debit Card,42.32,8.38
CUST000298,PayPal,45.16,19.8
CUST000299,PayPal,58.9,12.13
CUST000300,PayPal,53.01,12.99
CUST000301,Debit Card,54.8,8.28
CUST000302,PayPal,42.75,12.71
CUST000303,Debit Card,43.24,8.83
CUST000304,Credit Card,37.48,8.04
CUST000305,PayPal,30.36,9.14
CUST000306,Debit Card,50.81,5.04
CUST000307,Credit Card,43.96,13.55
CUST000308,Debit Card,43.52,10.81
CUST000309,Debit Card,49.71,18.48
CUST000310,Credit Card,34.97,5.61
CUST000311,PayPal,50.24,5.65
CUST000312,PayPal,41.54,18.29
CUST000313,Debit Card,43.17,6.9
CUST000314,Credit Card,42.81,5.03
CUST000315,PayPal,34.8,7.68
CUST000316,Debit Card,55.04,17.36
CUST000317,Credit Card,49.67,17.04
CUST000318,Debit Card,46.61,10.1
CUST000319,Credit Card,35.37,15.02
CUST000320,PayPal,39.2,12.61
CUST000321,PayPal,44.82,18.57
CUST000322,Debit Card,34.03,5.85
CUST000323,PayPal,58.81,17.2
CUST000324,PayPal,52.96,7.56
CUST000325,Credit Card,41.58,10.87
CUST000326,PayPal,31.7,7.88
CUST000327,Credit Card,61.64,15.54
CUST000328,Credit Card,52.72,15.17
CUST000329,Debit Card,42.36,13.22
CUST000330,Credit Card,51.72,15.47
CUST000331,PayPal,50.94,14.59
CUST000332,Credit Card,40.15,16.65
CUST000333,Credit Card,38.8,8.59
CUST000334,Debit Card,43.75,11.43
CUST000335,PayPal,48.93,7.27
CUST000336,PayPal,47.2,11.44
CUST000337,PayPal,55.84,15.53
CUST000338,Credit Card,38.37,15.37
CUST000339,PayPal,51.35,15.64
CUST000340,PayPal,46.35,9.63
CUST000341,Credit Card,51.58,14.93
CUST000342,Debit Card,33.26,10.51
CUST000343,Debit Card,49.31,19.17
CUST000344,Credit Card,40.36,10.15
CUST000345,Debit Card,42.43,14.05
CUST000346,Debit Card,62.5,16.25
CUST000347,Debit Card,46.25,18.6
CUST000348,PayPal,46.13,11.57
CUST000349,Debit Card,37.04,10.41
CUST000350,PayPal,36.59,11.45
CUST000351,Debit Card,29.98,9.86
CUST000352,PayPal,47.44,14.81
CUST000353,Credit Card,63.74,18.99
CUST000354,Credit Card,62.95,6.89
CUST000355,Debit Card,48.84,13.41
CUST000356,PayPal,55.84,18.46
CUST000357,Credit Card,37.25,6.5
CUST000358,Credit Card,52.62,12.41
CUST000359,Credit Card,51.3,17.98
CUST000360,Credit Card,33.54,18.51
CUST000361,Debit Card,33.45,12.72
CUST000362,PayPal,60.23,5.37
CUST000363,Credit Card,60.61,6.58
CUST000364,Debit Card,63.3,13.8
CUST000365,Credit Card,40.69,6.86
CUST000366,Credit Card,39.93,7.24
CUST000367,Credit Card,61.92,16.58
CUST000368,Credit Card,51.33,16.26
CUST000369,Debit Card,51.92,17.64
CUST000370,PayPal,56.26,6.59
CUST000371,Debit Card,50.33,7.97
CUST000372,Debit Card,57.14,17.49
CUST000373,Debit Card,40.87,15.82
CUST000374,Credit Card,65.42,17.09
CUST000375,PayPal,60.55,19.85
CUST000376,Credit Card,36.04,17.97
CUST000377,Debit Card,39.88,12.81
CUST000378,Credit Card,44.5,9.66
CUST000379,PayPal,51.95,13.55
CUST000380,PayPal,52.33,14.58
CUST000381,Credit Card,52.22,10.03
CUST000382,Debit Card,50.47,16.56
CUST000383,Credit Card,38.87,6.39
CUST000384,Debit Card,34.67,16.69
CUST000385,PayPal,54.87,5.48
CUST000386,Credit Card,41.21,12.47
CUST000387,PayPal,44.87,17.92
CUST000388,Debit Card,45.42,6.3
CUST000389,Debit Card,61.98,12.77
CUST000390,Credit Card,34.36,7.39
CUST000391,Credit Card,57.06,18.42
CUST000392,Credit Card,48.72,17.49
CUST000393,PayPal,41.75,19.01
CUST000394,Debit Card,50.48,18.12
CUST000395,Debit Card,46.21,16.05
CUST000396,PayPal,38.83,7.77
CUST000397,Credit Card,35.2,9.54
CUST000398,Credit Card,47.73,12.45
CUST000399,PayPal,45.78,13.83
CUST000400,Debit Card,40.82,16.73
CUST000401,Debit Card,51.45,8.4
CUST000402,Debit Card,38.45,6.92
CUST000403,Debit Card,49.98,12.24
CUST000404,PayPal,44.97,7.37
CUST000405,Debit Card,56.88,15.41
CUST000406,PayPal,45.36,13.63
CUST000407,Credit Card,42.62,16.12
CUST000408,PayPal,40.51,5.95
CUST000409,Debit Card,34.47,19.47
CUST000410,Credit Card,42.09,5.0
CUST000411,PayPal,42.84,9.88
CUST000412,PayPal,36.92,15.19
CUST000413,PayPal,57.7,5.68
CUST000414,Credit Card,47.4,6.25
CUST000415,PayPal,54.88,6.15
CUST000416,Debit Card,50.61,13.72
CUST000417,Credit Card,51.0,18.44
CUST000418,Credit Card,60.03,13.33
CUST000419,PayPal,35.52,14.05
CUST000420,Debit Card,41.62,10.19
CUST000421,Credit Card,25.56,5.28
CUST000422,PayPal,36.33,5.32
CUST000423,Debit Card,56.75,18.32
CUST000424,PayPal,44.0,6.54
CUST000425,PayPal,40.73,20.0
CUST000426,Credit Card,60.9,7.47
CUST000427,Credit Card,51.07,15.12
CUST000428,PayPal,51.08,19.23
CUST000429,Credit Card,47.6,10.43
CUST000430,Credit Card,36.57,16.02
CUST000431,Debit Card,42.88,10.26
CUST000432,Debit Card,62.99,9.57
CUST000433,PayPal,41.97,8.03
CUST000434,PayPal,59.05,17.31
CUST000435,PayPal,36.81,8.86
CUST000436,PayPal,59.42,9.25
CUST000437,Debit Card,43.32,19.98
CUST000438,Credit Card,59.35,9.91
CUST000439,Debit Card,54.13,11.34
CUST000440,PayPal,54.69,19.85
CUST000441,PayPal,53.83,10.54
CUST000442,Debit Card,56.8,10.49
CUST000443,Debit Card,43.19,17.42
CUST000444,PayPal,41.44,9.68
CUST000445,Credit Card,38.51,8.51
CUST000446,PayPal,45.27,11.35
CUST000447,Debit Card,55.34,15.51
CUST000448,PayPal,27.65,5.65
CUST000449,PayPal,33.87,10.61
CUST000450,Credit Card,44.71,10.19
CUST000451,PayPal,51.14,8.67
CUST000452,PayPal,64.29,14.81
CUST000453,PayPal,52.9,9.35
CUST000454,Debit Card,56.29,14.1
CUST000455,Debit Card,45.35,12.57
CUST000456,Credit Card,53.14,8.26
CUST000457,PayPal,55.69,9.0
CUST000458,Debit Card,53.01,7.56
CUST000459,Credit Card,60.85,5.85
CUST000460,PayPal,39.73,14.29
CUST000461,Credit Card,60.24,15.09
CUST000462,Credit Card,57.28,7.49
CUST000463,Credit Card,24.85,14.23
CUST000464,Credit Card,57.21,19.73
CUST000465,Credit Card,46.75,6.12
CUST000466,Credit Card,56.28,12.36
CUST000467,Credit Card,33.47,16.0
CUST000468,PayPal,37.82,5.69
CUST000469,PayPal,55.23,16.67
CUST000470,Credit Card,53.06,19.69
CUST000471,PayPal,36.78,6.33
CUST000472,Credit Card,44.82,17.33
CUST000473,PayPal,45.03,10.68
CUST000474,Debit Card,51.25,7.16
CUST000475,Credit Card,57.01,12.4
CUST000476,Debit Card,63.71,6.07
CUST000477,Credit Card,66.52,12.83
CUST000478,Credit Card,37.54,5.29
CUST000479,Debit Card,58.88,15.93
CUST000480,Debit Card,53.78,12.32
CUST000481,Debit Card,49.32,11.88
CUST000482,Credit Card,44.73,7.94
CUST000483,Debit Card,46.64,10.42
CUST000484,Debit Card,39.44,7.73
CUST000485,PayPal,60.78,16.03
CUST000486,PayPal,35.68,7.99
CUST000487,Debit Card,62.34,14.25
CUST000488,Debit Card,41.08,9.19
CUST000489,Debit Card,41.71,14.85
CUST000490,Debit Card,38.42,13.11
CUST000491,PayPal,52.27,11.35
CUST000492,Credit Card,30.96,15.1
CUST000493,Debit Card,43.82,11.24
CUST000494,Debit Card,51.17,17.32
CUST000495,PayPal,46.41,15.94
CUST000496,Debit Card,51.25,13.11
CUST000497,Debit Card,47.11,18.16
CUST000498,PayPal,46.18,17.43
CUST000499,Debit Card,52.61,12.98
CUST000500,Debit Card,51.21,6.03
CUST000501,PayPal,46.34,13.49
CUST000502,Credit Card,36.97,10.33
CUST000503,Debit Card,51.38,13.1
CUST000504,Debit Card,63.91,14.71
CUST000505,Credit Card,39.63,14.67
CUST000506,PayPal,35.36,15.1
CUST000507,Credit Card,61.27,15.19
CUST000508,Debit Card,43.18,6.64
CUST000509,Credit Card,35.68,7.88
CUST000510,PayPal,48.85,14.46
CUST000511,Debit Card,40.16,11.12
CUST000512,PayPal,49.0,16.44
CUST000513,PayPal,51.2,6.87
CUST000514,Credit Card,56.58,7.87
CUST000515,Credit Card,34.44,13.38
CUST000516,PayPal,52.35,12.51
CUST000517,PayPal,50.71,9.0
CUST000518,Debit Card,51.02,11.13
CUST000519,PayPal,54.05,5.52
CUST000520,PayPal,37.97,5.56
CUST000521,Credit Card,32.6,6.42
CUST000522,PayPal,43.88,13.65
CUST000523,PayPal,51.69,17.96
CUST000524,Credit Card,42.53,8.9
CUST000525,Debit Card,58.53,5.51
CUST000526,Credit Card,38.95,15.63
CUST000527,Credit Card,42.82,17.83
CUST000528,PayPal,45.19,7.07
CUST000529,PayPal,47.26,10.79
CUST000530,Debit Card,35.01,7.38
CUST000531,PayPal,30.55,6.6
CUST000532,Debit Card,45.26,14.72
CUST000533,Debit Card,39.75,19.51
CUST000534,Debit Card,49.2,15.17
CUST000535,Debit Card,54.37,19.77
CUST000536,PayPal,50.09,11.52
CUST000537,Credit Card,55.13,18.47
CUST000538,Credit Card,47.9,8.08
CUST000539,PayPal,29.34,6.77
CUST000540,PayPal,60.2,15.54
CUST000541,Debit Card,61.74,10.57
CUST000542,PayPal,47.27,9.77
CUST000543,Credit Card,40.4,15.07
CUST000544,PayPal,45.44,10.0
CUST000545,PayPal,43.34,13.59
CUST000546,Debit Card,45.74,9.49
CUST000547,Debit Card,60.41,16.76
CUST000548,Debit Card,52.06,9.69
CUST000549,Debit Card,58.09,13.02
CUST000550,Credit Card,38.45,5.35
CUST000551,PayPal,54.83,16.88
CUST000552,PayPal,47.29,14.31
CUST000553,Debit Card,34.54,7.88
CUST000554,Credit Card,45.05,8.23
CUST000555,Credit Card,32.6,8.94
CUST000556,PayPal,59.25,13.65
CUST000557,Debit Card,55.94,13.22
CUST000558,PayPal,54.16,9.11
CUST000559,PayPal,56.87,15.41
CUST000560,Credit Card,50.75,18.34
CUST000561,Credit Card,37.22,5.65
CUST000562,PayPal,51.32,11.26
CUST000563,Debit Card,46.45,13.9
CUST000564,Debit Card,44.67,13.8
CUST000565,PayPal,41.82,5.29
CUST000566,PayPal,30.38,8.16
CUST000567,Debit Card,43.55,5.93
CUST000568,Debit Card,61.02,13.53
CUST000569,Debit Card,57.33,14.68
CUST000570,PayPal,43.83,7.4
CUST000571,Credit Card,38.61,10.0
CUST000572,Debit Card,38.51,9.95
CUST000573,Debit Card,47.43,17.3
CUST000574,Debit Card,40.56,7.92
CUST000575,PayPal,43.37,13.22
CUST000576,Credit Card,49.16,16.74
CUST000577,Credit Card,44.61,17.44
CUST000578,Debit Card,36.02,15.0
CUST000579,PayPal,53.96,9.49
CUST000580,Credit Card,37.22,17.35
CUST000581,PayPal,53.39,16.13
CUST000582,Credit Card,53.09,15.57
CUST000583,Debit Card,34.38,6.01
CUST000584,PayPal,47.6,5.65
CUST000585,Debit Card,46.38,15.43
CUST000586,Credit Card,56.9,19.17
CUST000587,Credit Card,47.21,16.61
CUST000588,Debit Card,56.45,17.47
CUST000589,Credit Card,28.69,13.17
CUST000590,Debit Card,54.34,9.57
CUST000591,Debit Card,62.5,15.17
CUST000592,Debit Card,40.2,15.68
CUST000593,Credit Card,61.6,15.13
CUST000594,PayPal,49.24,19.2
CUST000595,Debit Card,54.47,10.51
CUST000596,PayPal,45.32,5.59
CUST000597,Credit Card,55.18,18.63
CUST000598,Credit Card,58.81,7.41
CUST000599,PayPal,50.66,15.46
CUST000600,Debit Card,55.59,18.1
CUST000601,Credit Card,50.5,9.65
CUST000602,Debit Card,47.54,17.46
CUST000603,Debit Card,65.14,9.98
CUST000604,PayPal,43.16,16.91
CUST000605,Credit Card,47.43,6.05
CUST000606,PayPal,58.2,14.83
CUST000607,Credit Card,47.34,15.16
CUST000608,PayPal,25.04,12.37
CUST000609,Credit Card,48.01,15.31
CUST000610,Credit Card,64.8,18.85
CUST000611,Credit Card,51.52,16.01
CUST000612,Debit Card,32.9,19.42
CUST000613,Debit Card,60.33,11.73
CUST000614,PayPal,59.72,12.92
CUST000615,PayPal,50.83,8.96
CUST000616,Credit Card,48.89,19.78
CUST000617,Credit Card,26.64,5.83
CUST000618,Debit Card,41.49,10.38
CUST000619,Debit Card,41.47,9.47
CUST000620,Debit Card,30.0,10.8
CUST000621,PayPal,59.47,18.77
CUST000622,Debit Card,51.11,10.52
CUST000623,PayPal,46.59,18.75
CUST000624,Debit Card,45.04,11.35
CUST000625,Debit Card,30.78,17.82
CUST000626,Credit Card,45.23,12.83
CUST000627,PayPal,31.78,9.67
CUST000628,Debit Card,30.73,11.74
CUST000629,Credit Card,41.91,11.37
CUST000630,PayPal,39.89,8.9
CUST000631,PayPal,46.52,9.34
CUST000632,Debit Card,33.16,7.8
CUST000633,PayPal,37.27,10.04
CUST000634,Credit Card,48.77,14.37
CUST000635,Credit Card,48.89,10.8
CUST000636,PayPal,54.71,15.68
CUST000637,Credit Card,58.32,19.8
CUST000638,PayPal,24.63,10.66
CUST000639,Credit Card,39.35,11.94
CUST000640,PayPal,59.07,7.46
CUST000641,PayPal,46.27,10.88
CUST000642,PayPal,52.25,15.9
CUST000643,Credit Card,29.83,8.26
CUST000644,PayPal,48.88,7.73
CUST000645,PayPal,45.13,10.65
CUST000646,Debit Card,56.52,17.28
CUST000647,Debit Card,34.92,14.35
CUST000648,PayPal,49.16,19.36
CUST000649,Debit Card,66.31,18.57
CUST000650,PayPal,45.6,7.27
CUST000651,Debit Card,37.95,5.64
CUST000652,Credit Card,53.06,10.99
CUST000653,Credit Card,53.35,12.83
CUST000654,PayPal,63.86,12.73
CUST000655,PayPal,40.57,7.01
CUST000656,Credit Card,50.94,6.87
CUST000657,Credit Card,49.12,5.7
CUST000658,Debit Card,57.92,17.76
CUST000659,PayPal,56.15,19.22
CUST000660,Credit Card,42.75,6.74
CUST000661,Credit Card,29.04,8.2
CUST000662,PayPal,42.0,6.35
CUST000663,Debit Card,57.08,18.16
CUST000664,Debit Card,62.96,19.38
CUST000665,Debit Card,49.8,8.93
CUST000666,Debit Card,43.79,9.55
CUST000667,Credit Card,35.96,10.44
CUST000668,PayPal,41.64,12.54
CUST000669,PayPal,51.97,15.24
CUST000670,Credit Card,39.82,12.57
CUST000671,Credit Card,64.78,19.27
CUST000672,Credit Card,50.99,6.5
CUST000673,PayPal,51.62,16.98
CUST000674,PayPal,50.76,10.02
CUST000675,PayPal,27.28,10.66
CUST000676,Debit Card,49.78,15.63
CUST000677,Credit Card,37.4,18.94
CUST000678,Credit Card,38.41,15.74
CUST000679,Credit Card,44.07,16.64
CUST000680,PayPal,38.08,16.26
CUST000681,Credit Card,63.93,9.81
CUST000682,Credit Card,35.01,16.35
CUST000683,Debit Card,52.64,16.77
CUST000684,PayPal,45.07,13.0
CUST000685,Credit Card,38.25,13.05
CUST000686,PayPal,33.21,16.4
CUST000687,PayPal,46.95,17.26
CUST000688,PayPal,40.88,10.06
CUST000689,Debit Card,45.06,17.02
CUST000690,PayPal,53.75,17.21
CUST000691,PayPal,35.97,8.51
CUST000692,PayPal,54.65,15.75
CUST000693,Credit Card,26.46,7.8
CUST000694,Debit Card,46.46,6.4
CUST000695,Credit Card,44.66,13.62
CUST000696,Debit Card,45.42,18.63
CUST000697,Debit Card,48.24,5.53
CUST000698,PayPal,55.45,17.4
CUST000699,PayPal,53.32,12.6
CUST000700,Credit Card,44.87,17.91
CUST000701,Debit Card,62.85,17.65
CUST000702,PayPal,51.05,18.13
CUST000703,PayPal,54.84,16.53
CUST000704,PayPal,43.48,17.64
CUST000705,PayPal,66.79,7.64
CUST000706,Credit Card,55.89,9.56
CUST000707,Credit Card,34.25,8.64
CUST000708,PayPal,45.7,16.14
CUST000709,PayPal,45.42,7.3
